age,gender,country,primary_platform,purpose,addiction_level,num_platforms_used,night_usage,sample_count,avg_daily_usage_hours,avg_session_minutes,avg_mental_health_score,avg_screen_time_before_sleep
15,Female,India,Instagram,Entertainment,Medium,4,1,122,3.5518298,25.841705,7.2436385,41.437965
20,Male,India,Instagram,Entertainment,Medium,1,1,118,3.6246269,25.4323,7.109992,40.36512
24,Male,India,Instagram,Entertainment,Medium,3,1,118,3.7002594,23.927132,7.029054,38.635044
27,Male,India,Instagram,Entertainment,Medium,5,1,118,3.6419911,25.615528,6.948784,40.135082
26,Female,India,Instagram,Entertainment,Medium,5,1,116,3.7972896,25.205622,7.040477,44.307255
27,Male,India,Instagram,Entertainment,Medium,4,1,115,3.6436412,25.33574,6.9669013,41.078827
17,Male,India,Instagram,Entertainment,Medium,3,1,114,3.6328874,25.793488,7.082779,40.290516
24,Female,India,Instagram,Entertainment,Medium,4,1,113,3.8225818,24.63239,6.976084,42.978077
25,Female,India,Instagram,Entertainment,Medium,4,1,113,3.651479,24.471432,6.978039,37.76051
19,Female,India,Instagram,Entertainment,Medium,2,1,112,3.7058952,25.432167,7.0259504,44.12085
22,Male,India,Instagram,Entertainment,Medium,1,1,112,3.7962813,25.323189,6.9133453,42.12354
19,Female,India,Instagram,Entertainment,Medium,3,1,111,3.6592681,23.672876,7.026352,37.498653
19,Female,India,Instagram,Entertainment,Medium,5,1,110,3.8832467,25.131374,6.9579153,37.09331
20,Male,India,Instagram,Entertainment,Medium,3,1,110,3.7213173,23.6353,6.994652,38.89837
26,Male,India,Instagram,Entertainment,Medium,3,1,110,3.7965264,25.984762,7.0343056,40.664722
23,Male,India,Instagram,Entertainment,Medium,1,1,109,3.6795158,23.820768,6.955776,42.376717
13,Female,India,Instagram,Entertainment,Medium,5,1,108,3.7125268,27.111858,7.101014,39.958378
21,Female,India,Instagram,Entertainment,Medium,3,1,108,3.5577512,23.430481,7.130235,39.769997
13,Male,India,Instagram,Entertainment,Medium,1,1,107,3.8308709,23.492352,7.032836,41.457283
21,Male,India,Instagram,Entertainment,Medium,1,1,107,3.826036,26.352335,7.040435,39.756233
14,Male,India,YouTube,Entertainment,Medium,4,1,107,3.7689083,26.581875,7.156611,42.257576
15,Female,India,Instagram,Entertainment,Medium,2,1,106,3.6327844,24.044806,6.906829,37.844555
15,Male,India,Instagram,Entertainment,Medium,4,1,106,3.7173603,22.780636,7.0854235,37.134155
17,Female,India,Instagram,Entertainment,Medium,5,1,106,3.7200012,25.187565,7.2018175,42.33306
19,Male,India,Instagram,Entertainment,Medium,5,1,106,3.7191803,24.537003,7.153928,34.66465
21,Male,India,Instagram,Entertainment,Medium,4,1,106,3.7356937,26.314617,7.084958,40.80607
23,Male,India,Instagram,Entertainment,Medium,5,1,106,3.6110916,26.515121,7.2290063,38.532837
19,Female,India,Instagram,Entertainment,Medium,4,1,105,3.7245934,25.44071,6.932971,38.965275
19,Male,India,Instagram,Entertainment,Medium,4,1,105,3.5912864,24.615051,7.323704,43.60074
21,Female,India,Instagram,Entertainment,Medium,5,1,105,3.5789356,24.677094,7.3401766,44.454468
24,Male,India,Instagram,Entertainment,Medium,2,1,105,3.7104259,24.121082,6.983472,40.605476
14,Female,India,Instagram,Entertainment,Medium,5,1,104,3.7316463,25.612936,6.892169,39.492958
14,Male,India,Instagram,Entertainment,Medium,5,1,104,3.6577199,25.383945,7.076329,40.34577
17,Male,India,Instagram,Entertainment,Medium,5,1,104,3.686955,25.561964,6.963529,44.180042
20,Female,India,Instagram,Entertainment,Medium,3,1,104,3.7402158,25.362833,6.936521,41.196617
20,Male,India,Instagram,Entertainment,Medium,5,1,104,3.6520848,24.818008,7.043199,39.421898
26,Male,India,Instagram,Entertainment,Medium,4,1,104,3.6571152,24.890436,7.0997696,38.722103
16,Male,India,YouTube,Entertainment,Medium,1,1,104,3.715386,26.847403,6.931466,42.251137
16,Male,India,Instagram,Entertainment,Medium,2,1,103,3.7712483,25.007187,7.045133,39.332245
24,Male,India,Instagram,Entertainment,Medium,1,1,103,3.5218654,24.11603,7.2756486,40.630127
25,Male,India,Instagram,Entertainment,Medium,3,1,103,3.6092281,24.723314,6.8354645,41.189465
26,Male,India,Instagram,Entertainment,Medium,2,1,103,3.656736,25.846539,7.088707,42.243034
14,Female,India,Instagram,Entertainment,Medium,2,1,102,3.6767082,25.961445,7.2323675,39.652214
18,Male,India,Instagram,Entertainment,Medium,1,1,102,3.6778328,26.998127,7.0724883,39.301758
18,Male,India,Instagram,Entertainment,Medium,5,1,102,3.7156208,25.15251,7.175734,38.175518
20,Female,India,Instagram,Entertainment,Medium,2,1,102,3.5543664,24.441807,7.1908135,41.769974
20,Female,India,Instagram,Entertainment,Medium,4,1,102,3.610393,23.743752,7.027644,39.097343
23,Male,India,TikTok,Entertainment,Medium,5,1,102,3.6258042,26.154896,6.9768105,41.850647
15,Male,India,Instagram,Entertainment,Medium,1,1,101,3.6108143,25.19576,7.1205626,37.385796
16,Female,India,Instagram,Entertainment,Medium,2,1,101,3.6497428,24.82753,6.9451814,40.16806
22,Male,India,Instagram,Entertainment,Medium,5,1,101,3.5980778,25.802628,7.0366426,42.164845
21,Female,India,Instagram,Entertainment,Medium,2,1,100,3.609881,24.20723,7.207606,38.86642
24,Female,India,Instagram,Entertainment,Medium,3,1,100,3.6103446,24.278055,6.7868385,41.141396
16,Male,India,TikTok,Entertainment,Medium,4,1,100,3.6382797,26.376532,7.0321336,37.416958
16,Female,India,YouTube,Entertainment,Medium,2,1,100,3.6748917,24.8997,7.081558,40.57776
14,Female,India,Instagram,Entertainment,Medium,4,1,99,3.8041158,24.274307,6.9346304,41.558113
18,Male,India,Instagram,Entertainment,Medium,4,1,99,3.6988187,26.206966,7.197966,36.308094
21,Male,India,Instagram,Entertainment,Medium,5,1,99,3.619407,24.79718,7.0589547,39.634117
22,Female,India,Instagram,Entertainment,Medium,2,1,99,3.7290573,24.502844,6.86918,39.52107
14,Male,India,Instagram,Entertainment,Medium,1,1,98,3.6643307,25.044216,7.0894485,40.81838
16,Male,India,Instagram,Entertainment,Medium,3,1,98,3.59207,25.544195,7.297824,39.502308
21,Male,India,Instagram,Entertainment,Medium,3,1,98,3.688134,23.41904,7.1324363,38.5326
25,Male,India,TikTok,Entertainment,Medium,3,1,98,3.6408417,26.58424,6.9472456,41.143566
26,Male,India,YouTube,Entertainment,Medium,3,1,98,3.6554146,24.286983,7.034959,43.032078
14,Male,India,Instagram,Entertainment,Medium,3,1,97,3.6510212,24.197243,7.0886855,40.6367
15,Female,India,Instagram,Entertainment,Medium,1,1,97,3.7711377,26.93334,6.9334693,42.050667
21,Female,India,Instagram,Entertainment,Medium,4,1,97,3.7494748,21.903906,6.8671227,40.236946
23,Female,India,Instagram,Entertainment,Medium,1,1,97,3.706131,24.996544,7.068915,39.379826
23,Female,India,Instagram,Entertainment,Medium,2,1,97,3.732179,24.570812,6.9650955,40.448986
24,Female,India,Instagram,Entertainment,Medium,5,1,97,3.6829402,25.51727,7.1740403,38.221054
26,Male,India,Instagram,Entertainment,Medium,5,1,97,3.6722503,25.91676,7.224064,40.18046
27,Female,India,Instagram,Entertainment,Medium,4,1,97,3.7998042,25.736828,6.9556837,39.977165
26,Female,India,YouTube,Entertainment,Medium,4,1,97,3.6597695,25.599842,7.1815577,38.339046
13,Female,India,Instagram,Entertainment,Medium,1,1,96,3.617244,27.17573,7.0768905,40.937546
24,Female,India,Instagram,Entertainment,Medium,1,1,96,3.661679,24.724874,7.091275,37.57888
25,Male,India,Instagram,Entertainment,Medium,4,1,96,3.6723716,25.04256,7.098095,38.942574
27,Male,India,Instagram,Entertainment,Medium,2,1,96,3.6814137,23.475462,6.815787,37.759754
17,Male,India,TikTok,Entertainment,Medium,3,1,96,3.8108025,25.408993,6.9916983,42.100597
14,Male,India,Instagram,Entertainment,Medium,2,1,95,3.6974635,23.069775,7.129284,43.071674
18,Female,India,Instagram,Entertainment,Medium,1,1,95,3.6940026,25.039692,7.042792,42.39237
19,Male,India,Instagram,Entertainment,Medium,1,1,95,3.624434,26.720205,6.988201,41.537403
19,Male,India,Instagram,Entertainment,Medium,2,1,95,3.72063,23.741413,6.994256,41.467396
23,Male,India,Instagram,Entertainment,Medium,4,1,95,3.820731,25.274876,7.002295,39.783142
24,Male,India,Instagram,Entertainment,Medium,4,1,95,3.6497111,27.596827,7.133574,40.313362
26,Female,India,Instagram,Entertainment,Medium,2,1,95,3.6534286,25.677689,6.9476776,39.599525
27,Female,India,Instagram,Entertainment,Medium,3,1,95,3.7582924,24.472935,6.916284,39.324444
