age,gender,country,daily_usage_hours,primary_platform,num_platforms_used,purpose,avg_session_minutes,night_usage,mental_health_score,addiction_level,screen_time_before_sleep
19,Male,Australia,2.658617259089736,Snapchat,4,Education,29.222442976309395,0,6.705829998710905,Medium,15.779443468753923
16,Female,USA,5.685386777637287,Twitter,3,Socializing,32.46472622337383,1,6.63311126321641,High,47.71486422270657
25,Female,India,2.7824200376895654,TikTok,2,Socializing,18.17020404442123,1,6.035396589384119,Medium,62.52462541000855
27,Male,India,3.486597750260481,YouTube,4,Education,22.493803869293348,1,8.11086142423603,Medium,31.935101511169627
23,Female,India,3.7488287467611223,TikTok,1,Entertainment,27.358409591039585,1,6.658597683546672,Medium,29.466045545703423
20,Other,Brazil,2.932247516535153,TikTok,1,Entertainment,37.43427433630503,1,7.138047674237245,Medium,55.17785252367733
25,Male,Germany,5.241584406479307,TikTok,1,Entertainment,31.179369339848016,1,6.515973661637336,High,71.66731968734149
17,Female,India,2.241011821136276,YouTube,1,News,21.715560716339304,0,9.314943946605544,Low,12.337113032649928
19,Female,Brazil,2.782066524448536,Twitter,2,Socializing,27.58031369784337,1,6.3014663666376265,Medium,43.3060351757288
22,Male,Canada,3.5906796927125604,Instagram,1,Education,5.0,0,6.6821496050500535,Medium,42.878576149085966
15,Female,USA,1.7372955329215256,Twitter,2,Entertainment,7.056339404684088,1,8.164422854875765,Low,30.65172856346353
19,Male,India,3.2991717675064507,YouTube,2,Education,5.0,1,7.908754583803622,Medium,8.577942283519263
23,Female,USA,6.207281178969131,Instagram,1,Socializing,11.246668971505532,1,5.63653519165884,High,53.82388680985402
23,Female,Australia,3.738387077978624,TikTok,1,News,24.209599128080523,1,6.306261011032153,Medium,43.97591485665658
20,Male,India,5.160911280415382,Instagram,5,Education,20.28738207744467,1,4.560262758606699,High,7.184319219785898
17,Male,UK,4.372430113098951,YouTube,1,Entertainment,28.61474182073844,0,7.235105367574313,Medium,0.0
16,Male,Australia,5.332597814771951,TikTok,1,Entertainment,13.045611931797067,1,6.107393293819018,High,49.829796830963545
20,Male,USA,3.732022754361392,Twitter,3,Socializing,20.435205719553515,1,6.312866658829522,Medium,0.187994607726857
20,Male,USA,3.900738473891271,Snapchat,2,Entertainment,14.397866845493796,1,8.591728859251985,Medium,15.467184396017783
15,Female,USA,4.887226431646692,Instagram,2,Education,31.862099283264904,1,6.478297083229008,Medium,21.90549623803545
18,Female,Australia,2.5006475019753527,YouTube,3,Entertainment,29.221928576339085,0,8.999890524829052,Medium,39.64021776945003
17,Male,UK,5.119454724293844,YouTube,1,Entertainment,14.770323811877166,1,6.189125630353626,High,49.5952366149381
14,Male,Canada,3.691514848233853,Snapchat,4,Entertainment,21.371039539983,0,6.255301701078734,Medium,24.05706109309609
20,Male,India,1.940667188769024,Instagram,5,Education,11.65798010718598,1,7.52089998336156,Low,53.68192562860893
24,Male,USA,2.6673992593752307,YouTube,5,Socializing,38.04565719538371,1,6.736906600098968,Medium,22.90870921537245
26,Male,Australia,5.595739245377886,Instagram,3,Entertainment,40.18771720556959,1,4.334976953244651,High,52.90928171221595
18,Male,Brazil,1.2030820689472943,Instagram,4,Entertainment,37.30035340119188,0,8.929309498385248,Low,46.67446786642101
14,Female,Germany,4.610501808679459,YouTube,5,Socializing,42.784439105836455,0,6.717749588493543,Medium,26.55514961485612
24,Female,India,5.857314346086333,TikTok,3,Entertainment,29.027593133215667,1,6.052501818552455,High,62.53922529375894
17,Male,Germany,3.3293099528251524,YouTube,5,Entertainment,23.84511972864699,1,7.442299015120046,Medium,42.941610049870704
13,Female,India,1.9295888064331617,Snapchat,4,Socializing,30.90001961343246,1,9.5865538785368,Low,32.19145303235868
24,Female,USA,3.9160868681700913,Instagram,4,Socializing,17.292648042372328,1,7.33031584483585,Medium,64.93647604454067
22,Male,USA,1.3294480809494278,YouTube,3,News,38.07783070686487,1,7.904058383325345,Low,58.328401832465374
18,Female,India,3.465842904475667,Twitter,2,Socializing,23.230402893558995,1,9.069632038281185,Medium,9.555485695769384
25,Female,India,6.420077734761524,YouTube,3,Education,18.51852239103112,1,4.206716517508848,High,19.69534556711632
24,Male,India,2.7492338405226744,Instagram,3,Entertainment,37.99023117991949,1,8.870852903669997,Medium,52.76439413217737
